filename,attack,defense,nm,accuracy,accuracy_pct
gaussian_attack_tr_mean_25.log,GA,Trim-mean,25,0.7032418952618454,70.32418952618454
gaussian_attack_bulyan_10.log,GA,Bulyan,10,0.7097256857855362,70.97256857855362
shifted_mean_attack_bulyan_15.log,MS,Bulyan,15,0.7067331670822943,70.67331670822942
gaussian_attack_bulyan_15.log,GA,Bulyan,15,0.7087281795511222,70.87281795511223
shifted_mean_attack_bulyan_20.log,MS,Bulyan,20,0.7077306733167082,70.77306733167083
gaussian_attack_bulyan_20.log,GA,Bulyan,20,0.7082294264339152,70.82294264339151
shifted_mean_attack_bulyan_25.log,MS,Bulyan,25,0.6997506234413965,69.97506234413964
gaussian_attack_bulyan_25.log,GA,Bulyan,25,0.7107231920199502,71.07231920199501
shifted_mean_attack_bulyan_30.log,MS,Bulyan,30,0.6922693266832918,69.22693266832918
gaussian_attack_bulyan_30.log,GA,Bulyan,30,0.7062344139650872,70.62344139650872
shifted_mean_attack_multi_krum_5.log,MS,Krum,5,0.7087281795511222,70.87281795511223
gaussian_attack_bulyan_5.log,GA,Bulyan,5,0.7102244389027431,71.02244389027432
shifted_mean_attack_bulyan_5.log,MS,Bulyan,5,0.7127182044887781,71.2718204488778
gaussian_attack_fltrust_10.log,GA,FLTrust,10,0.5466334164588529,54.66334164588529
shifted_mean_attack_fltrust_10.log,MS,FLTrust,10,0.7082294264339152,70.82294264339151
gaussian_attack_fltrust_15.log,GA,FLTrust,15,0.6493765586034913,64.93765586034912
shifted_mean_attack_fltrust_15.log,MS,FLTrust,15,0.7087281795511222,70.87281795511223
gaussian_attack_fltrust_20.log,GA,FLTrust,20,0.15760598503740647,15.760598503740647
shifted_mean_attack_fltrust_20.log,MS,FLTrust,20,0.7092269326683291,70.92269326683291
gaussian_attack_fltrust_25.log,GA,FLTrust,25,0.04488778054862843,4.488778054862843
shifted_mean_attack_fltrust_25.log,MS,FLTrust,25,0.7077306733167082,70.77306733167083
gaussian_attack_fltrust_30.log,GA,FLTrust,30,0.6134663341645885,61.34663341645885
shifted_mean_attack_fltrust_30.log,MS,FLTrust,30,0.7052369077306733,70.52369077306733
gaussian_attack_fltrust_5.log,GA,FLTrust,5,0.628927680798005,62.8927680798005
gaussian_attack_tr_mean_10.log,GA,Trim-mean,10,0.7107231920199502,71.07231920199501
gaussian_attack_mandera_detect_10.log,GA,MANDERA,10,0.7087281795511222,70.87281795511223
gaussian_attack_mandera_detect_15.log,GA,MANDERA,15,0.7097256857855362,70.97256857855362
gaussian_attack_mandera_detect_20.log,GA,MANDERA,20,0.7102244389027431,71.02244389027432
gaussian_attack_tr_mean_15.log,GA,Trim-mean,15,0.7062344139650872,70.62344139650872
gaussian_attack_mandera_detect_25.log,GA,MANDERA,25,0.7107231920199502,71.07231920199501
gaussian_attack_tr_mean_20.log,GA,Trim-mean,20,0.7102244389027431,71.02244389027432
gaussian_attack_mandera_detect_30.log,GA,MANDERA,30,0.7107231920199502,71.07231920199501
shifted_mean_attack_fltrust_5.log,MS,FLTrust,5,0.7072319201995012,70.72319201995012
gaussian_attack_mandera_detect_5.log,GA,MANDERA,5,0.7107231920199502,71.07231920199501
shifted_mean_attack_mandera_detect_10.log,MS,MANDERA,10,0.7112219451371571,71.12219451371571
gaussian_attack_median_10.log,GA,Median,10,0.7037406483790524,70.37406483790524
shifted_mean_attack_mandera_detect_15.log,MS,MANDERA,15,0.7062344139650872,70.62344139650872
gaussian_attack_median_15.log,GA,Median,15,0.7037406483790524,70.37406483790524
shifted_mean_attack_mandera_detect_20.log,MS,MANDERA,20,0.7087281795511222,70.87281795511223
gaussian_attack_median_20.log,GA,Median,20,0.7022443890274315,70.22443890274315
shifted_mean_attack_mandera_detect_25.log,MS,MANDERA,25,0.7097256857855362,70.97256857855362
gaussian_attack_median_25.log,GA,Median,25,0.7032418952618454,70.32418952618454
shifted_mean_attack_mandera_detect_30.log,MS,MANDERA,30,0.7087281795511222,70.87281795511223
gaussian_attack_median_30.log,GA,Median,30,0.7067331670822943,70.67331670822942
gaussian_attack_median_5.log,GA,Median,5,0.7037406483790524,70.37406483790524
shifted_mean_attack_mandera_detect_5.log,MS,MANDERA,5,0.7112219451371571,71.12219451371571
gaussian_attack_multi_krum_10.log,GA,Krum,10,0.6788029925187032,67.88029925187033
shifted_mean_attack_median_10.log,MS,Median,10,0.7047381546134663,70.47381546134663
gaussian_attack_multi_krum_15.log,GA,Krum,15,0.6902743142144638,69.02743142144638
shifted_mean_attack_median_15.log,MS,Median,15,0.7007481296758105,70.07481296758104
gaussian_attack_multi_krum_20.log,GA,Krum,20,0.6758104738154613,67.58104738154613
shifted_mean_attack_median_20.log,MS,Median,20,0.6977556109725686,69.77556109725685
gaussian_attack_multi_krum_25.log,GA,Krum,25,0.6773067331670823,67.73067331670823
shifted_mean_attack_median_25.log,MS,Median,25,0.6947630922693266,69.47630922693267
gaussian_attack_multi_krum_30.log,GA,Krum,30,0.599501246882793,59.9501246882793
shifted_mean_attack_median_30.log,MS,Median,30,0.6837905236907731,68.37905236907731
gaussian_attack_multi_krum_5.log,GA,Krum,5,0.6802992518703241,68.02992518703242
gaussian_attack_tr_mean_30.log,GA,Trim-mean,30,0.7062344139650872,70.62344139650872
shifted_mean_attack_median_5.log,MS,Median,5,0.7047381546134663,70.47381546134663
gaussian_attack_tr_mean_5.log,GA,Trim-mean,5,0.7062344139650872,70.62344139650872
shifted_mean_attack_multi_krum_10.log,MS,Krum,10,0.7052369077306733,70.52369077306733
shifted_mean_attack_bulyan_10.log,MS,Bulyan,10,0.7082294264339152,70.82294264339151
shifted_mean_attack_multi_krum_15.log,MS,Krum,15,0.7012468827930175,70.12468827930175
shifted_mean_attack_multi_krum_20.log,MS,Krum,20,0.7007481296758105,70.07481296758104
shifted_mean_attack_multi_krum_25.log,MS,Krum,25,0.6907730673316709,69.07730673316709
shifted_mean_attack_multi_krum_30.log,MS,Krum,30,0.6688279301745635,66.88279301745635
shifted_mean_attack_tr_mean_10.log,MS,Trim-mean,10,0.7087281795511222,70.87281795511223
shifted_mean_attack_tr_mean_15.log,MS,Trim-mean,15,0.7077306733167082,70.77306733167083
shifted_mean_attack_tr_mean_20.log,MS,Trim-mean,20,0.7042394014962593,70.42394014962593
shifted_mean_attack_tr_mean_25.log,MS,Trim-mean,25,0.6952618453865337,69.52618453865337
shifted_mean_attack_tr_mean_30.log,MS,Trim-mean,30,0.6937655860349127,69.37655860349126
shifted_mean_attack_tr_mean_5.log,MS,Trim-mean,5,0.7077306733167082,70.77306733167083
sign_flipping_attack_bulyan_10.log,SF,Bulyan,10,0.7102244389027431,71.02244389027432
sign_flipping_attack_bulyan_15.log,SF,Bulyan,15,0.7072319201995012,70.72319201995012
sign_flipping_attack_bulyan_20.log,SF,Bulyan,20,0.7067331670822943,70.67331670822942
sign_flipping_attack_bulyan_25.log,SF,Bulyan,25,0.7067331670822943,70.67331670822942
sign_flipping_attack_bulyan_30.log,SF,Bulyan,30,0.7027431421446384,70.27431421446384
sign_flipping_attack_bulyan_5.log,SF,Bulyan,5,0.7117206982543641,71.17206982543641
sign_flipping_attack_fltrust_10.log,SF,FLTrust,10,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_15.log,SF,FLTrust,15,0.7067331670822943,70.67331670822942
sign_flipping_attack_fltrust_20.log,SF,FLTrust,20,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_25.log,SF,FLTrust,25,0.6713216957605985,67.13216957605985
sign_flipping_attack_fltrust_30.log,SF,FLTrust,30,0.6688279301745635,66.88279301745635
sign_flipping_attack_fltrust_5.log,SF,FLTrust,5,0.7067331670822943,70.67331670822942
sign_flipping_attack_mandera_detect_10.log,SF,MANDERA,10,0.7107231920199502,71.07231920199501
sign_flipping_attack_mandera_detect_15.log,SF,MANDERA,15,0.7112219451371571,71.12219451371571
sign_flipping_attack_mandera_detect_20.log,SF,MANDERA,20,0.7097256857855362,70.97256857855362
sign_flipping_attack_mandera_detect_25.log,SF,MANDERA,25,0.7062344139650872,70.62344139650872
sign_flipping_attack_mandera_detect_30.log,SF,MANDERA,30,0.7112219451371571,71.12219451371571
